rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
1,WeightedEnsemble_L2,2,0.6919117647058823,0.5945945945945946,0.8143939393939394,0.7671232876712328,74,73,6.707768440246582,0.4872093200683594,True
2,WeightedEnsemble_L3,3,0.6919117647058823,0.5945945945945946,0.8121212121212121,0.7671232876712328,74,73,9.60696530342102,0.5567326545715332,True
3,NeuralNetFastAI_r65_BAG_L1,1,0.6852941176470588,0.6891891891891891,0.7704545454545454,0.726027397260274,74,73,3.811763286590576,0.1091101169586181,True
4,NeuralNetFastAI_r11_BAG_L2,2,0.6830882352941177,0.5945945945945946,0.8287878787878787,0.684931506849315,74,73,10.94480800628662,0.621875524520874,True
5,NeuralNetFastAI_r156_BAG_L1,1,0.6808823529411764,0.6756756756756757,0.7689393939393939,0.6986301369863014,74,73,3.425480842590332,0.1203274726867675,True
6,NeuralNetFastAI_r172_BAG_L1,1,0.6683823529411765,0.6891891891891891,0.7916666666666667,0.7397260273972602,74,73,3.9917068481445312,0.1375949382781982,True
7,NeuralNetFastAI_r100_BAG_L1,1,0.6647058823529413,0.7027027027027027,0.7151515151515152,0.684931506849315,74,73,4.243396282196045,0.1694717407226562,True
8,NeuralNetFastAI_r172_BAG_L2,2,0.6625,0.5945945945945946,0.8090909090909091,0.7534246575342466,74,73,11.326536417007446,0.6259171962738037,True
9,NeuralNetFastAI_r156_BAG_L2,2,0.6602941176470588,0.6756756756756757,0.8212121212121212,0.7534246575342466,74,73,12.010544300079346,0.6406257152557373,True
10,RandomForestEntr_BAG_L1,1,0.6591911764705882,0.5540540540540541,0.7958333333333333,0.7397260273972602,74,73,0.7314450740814209,0.2453653812408447,True
11,NeuralNetFastAI_r88_BAG_L2,2,0.6588235294117647,0.6351351351351351,0.8522727272727273,0.821917808219178,74,73,11.587238073349,0.6421504020690918,True
12,NeuralNetFastAI_r65_BAG_L2,2,0.6580882352941178,0.6216216216216216,0.8424242424242424,0.8356164383561644,74,73,11.699145078659058,0.678490400314331,True
13,ExtraTrees_r126_BAG_L1,1,0.6566176470588236,0.6486486486486487,0.803030303030303,0.7671232876712328,74,73,0.9854681491851808,0.0456478595733642,True
14,NeuralNetFastAI_r160_BAG_L2,2,0.6536764705882353,0.6081081081081081,0.8409090909090909,0.821917808219178,74,73,10.83558750152588,0.6257822513580322,True
15,NeuralNetFastAI_r111_BAG_L1,1,0.6536764705882353,0.6081081081081081,0.7553030303030304,0.7397260273972602,74,73,3.675048828125,0.1460955142974853,True
16,CatBoost_r167_BAG_L2,2,0.6522058823529412,0.5675675675675675,0.8068181818181819,0.7671232876712328,74,73,9.570787906646729,0.5563671588897705,True
17,NeuralNetFastAI_r194_BAG_L1,1,0.6522058823529412,0.6351351351351351,0.7333333333333334,0.6986301369863014,74,73,2.978984832763672,0.0890524387359619,True
18,NeuralNetFastAI_r143_BAG_L1,1,0.6507352941176471,0.6621621621621622,0.8515151515151516,0.7808219178082192,74,73,4.92296314239502,0.1149590015411377,True
