model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
WeightedEnsemble_L3,0.6919117647058823,0.5945945945945946,0.8121212121212121,0.7671232876712328,0.7044117647058823,0.6486486486486487,0.693939393939394,0.6301369863013698
WeightedEnsemble_L2,0.6919117647058823,0.5945945945945946,0.8143939393939394,0.7671232876712328,0.700735294117647,0.6486486486486487,0.6916666666666667,0.6301369863013698
NeuralNetFastAI_r65_BAG_L1,0.6852941176470588,0.6891891891891891,0.7704545454545454,0.726027397260274,,,,
NeuralNetFastAI_r11_BAG_L2,0.6830882352941177,0.5945945945945946,0.8287878787878787,0.684931506849315,,,,
NeuralNetFastAI_r156_BAG_L1,0.6808823529411764,0.6756756756756757,0.7689393939393939,0.6986301369863014,,,,
NeuralNetFastAI_r172_BAG_L1,0.6683823529411765,0.6891891891891891,0.7916666666666667,0.7397260273972602,,,,
NeuralNetFastAI_r100_BAG_L1,0.6647058823529413,0.7027027027027027,0.7151515151515152,0.684931506849315,,,,
NeuralNetFastAI_r172_BAG_L2,0.6625,0.5945945945945946,0.8090909090909091,0.7534246575342466,,,,
NeuralNetFastAI_r156_BAG_L2,0.6602941176470588,0.6756756756756757,0.8212121212121212,0.7534246575342466,,,,
NeuralNetFastAI_BAG_L1,0.6455882352941177,0.6351351351351351,0.7068181818181818,0.6575342465753424,0.674264705882353,0.6621621621621622,0.6871212121212121,0.6438356164383562
NeuralNetFastAI_r88_BAG_L2,0.6588235294117647,0.6351351351351351,0.8522727272727273,0.821917808219178,,,,
NeuralNetFastAI_r65_BAG_L2,0.6580882352941178,0.6216216216216216,0.8424242424242424,0.8356164383561644,,,,
NeuralNetFastAI_BAG_L2,0.649264705882353,0.581081081081081,0.8257575757575758,0.7397260273972602,0.6669117647058823,0.6891891891891891,0.7204545454545453,0.6712328767123288
NeuralNetFastAI_r191_BAG_L1,0.6147058823529411,0.5405405405405406,0.6977272727272729,0.5753424657534246,0.7,0.6756756756756757,0.6818181818181818,0.6438356164383562
ExtraTrees_r126_BAG_L1,0.6566176470588236,0.6486486486486487,0.803030303030303,0.7671232876712328,,,,
NeuralNetFastAI_r160_BAG_L2,0.6536764705882353,0.6081081081081081,0.8409090909090909,0.821917808219178,,,,
NeuralNetFastAI_r111_BAG_L1,0.6536764705882353,0.6081081081081081,0.7553030303030304,0.7397260273972602,,,,
CatBoost_r167_BAG_L2,0.6522058823529412,0.5675675675675675,0.8068181818181819,0.7671232876712328,,,,
NeuralNetFastAI_r194_BAG_L1,0.6522058823529412,0.6351351351351351,0.7333333333333334,0.6986301369863014,,,,
NeuralNetFastAI_r143_BAG_L1,0.6507352941176471,0.6621621621621622,0.8515151515151516,0.7808219178082192,,,,
XGBoost_r49_BAG_L1,0.6507352941176471,0.5540540540540541,0.7674242424242425,0.6986301369863014,,,,
NeuralNetFastAI_r37_BAG_L1,0.6470588235294118,0.6621621621621622,0.8325757575757575,0.7534246575342466,,,,
NeuralNetFastAI_r145_BAG_L1,0.6463235294117647,0.6081081081081081,0.7628787878787878,0.684931506849315,,,,
ExtraTrees_r49_BAG_L2,0.6455882352941177,0.581081081081081,0.8041666666666667,0.821917808219178,,,,
