rank,model,color
1,NeuralNetFastAI_r11_BAG_L2,#1f77b4
2,NeuralNetFastAI_r88_BAG_L2,#d62728
3,NeuralNetFastAI_r143_BAG_L1,#2ca02c
4,NeuralNetFastAI_r65_BAG_L2,#9467bd
5,NeuralNetFastAI_r160_BAG_L2,#ff7f0e
6,NeuralNetFastAI_r156_BAG_L2,#17becf
7,NeuralNetFastAI_r37_BAG_L1,#e377c2
8,NeuralNetFastAI_r172_BAG_L2,#8c564b
9,CatBoost_r49_BAG_L2,#bcbd22
10,NeuralNetFastAI_r134_BAG_L2,#7f7f7f
11,NeuralNetFastAI_r172_BAG_L1,#393b79
12,RandomForest_r34_BAG_L2,#b15928
13,ExtraTrees_r126_BAG_L1,#5254a3
14,CatBoost_r167_BAG_L2,#637939
15,CatBoost_r86_BAG_L2,#8c6d31
16,CatBoost_r60_BAG_L2,#843c39
17,NeuralNetFastAI_r65_BAG_L1,#1f77b4
18,CatBoost_r13_BAG_L2,#d62728
19,ExtraTrees_r178_BAG_L1,#2ca02c
20,CatBoost_r137_BAG_L2,#9467bd
21,WeightedEnsemble_L3,#ff7f0e
22,CatBoost_r50_BAG_L2,#17becf
23,CatBoost_r70_BAG_L2,#e377c2
24,NeuralNetFastAI_r103_BAG_L2,#8c564b
25,NeuralNetFastAI_r156_BAG_L1,#bcbd22
26,ExtraTrees_r49_BAG_L2,#7f7f7f
27,NeuralNetFastAI_r143_BAG_L2,#393b79
28,WeightedEnsemble_L2,#b15928
29,CatBoost_r5_BAG_L1,#5254a3
30,ExtraTrees_r4_BAG_L2,#637939
31,CatBoost_r49_BAG_L1,#8c6d31
32,CatBoost_r6_BAG_L2,#843c39
33,CatBoost_r128_BAG_L2,#1f77b4
34,CatBoost_r12_BAG_L2,#d62728
35,NeuralNetFastAI_r4_BAG_L2,#2ca02c
36,NeuralNetFastAI_r88_BAG_L1,#9467bd
37,CatBoost_r198_BAG_L2,#ff7f0e
38,ExtraTrees_r172_BAG_L1,#17becf
39,ExtraTrees_r197_BAG_L1,#e377c2
40,NeuralNetFastAI_r100_BAG_L2,#8c564b
41,CatBoost_r143_BAG_L2,#bcbd22
42,CatBoost_r50_BAG_L1,#7f7f7f
43,CatBoost_r5_BAG_L2,#393b79
44,XGBoost_r31_BAG_L1,#b15928
45,CatBoost_r69_BAG_L1,#5254a3
46,CatBoost_r180_BAG_L2,#637939
47,XGBoost_r95_BAG_L1,#8c6d31
48,ExtraTrees_r126_BAG_L2,#843c39
49,NeuralNetFastAI_BAG_L2,#1f77b4
50,RandomForest_r166_BAG_L2,#d62728
51,NeuralNetFastAI_r69_BAG_L2,#2ca02c
52,LightGBM_r196_BAG_L1,#9467bd
53,CatBoost_r60_BAG_L1,#ff7f0e
54,RandomForest_r166_BAG_L1,#17becf
55,LightGBM_r42_BAG_L1,#e377c2
56,NeuralNetFastAI_r37_BAG_L2,#8c564b
57,CatBoost_r180_BAG_L1,#bcbd22
58,CatBoost_r163_BAG_L2,#7f7f7f
59,CatBoost_r167_BAG_L1,#393b79
60,LightGBM_r121_BAG_L1,#b15928
61,CatBoost_r69_BAG_L2,#5254a3
62,XGBoost_r49_BAG_L1,#637939
63,XGBoost_r98_BAG_L1,#8c6d31
64,ExtraTrees_r4_BAG_L1,#843c39
65,CatBoost_r163_BAG_L1,#1f77b4
66,RandomForest_r39_BAG_L1,#d62728
67,CatBoost_r6_BAG_L1,#2ca02c
68,XGBoost_r89_BAG_L1,#9467bd
69,LightGBMLarge_BAG_L2,#ff7f0e
70,CatBoost_r70_BAG_L1,#17becf
71,CatBoost_r12_BAG_L1,#e377c2
72,CatBoost_r198_BAG_L1,#8c564b
73,NeuralNetFastAI_r187_BAG_L2,#bcbd22
74,ExtraTrees_r178_BAG_L2,#7f7f7f
75,CatBoost_r137_BAG_L1,#393b79
76,RandomForest_r127_BAG_L2,#b15928
77,NeuralNetFastAI_r95_BAG_L2,#5254a3
78,NeuralNetFastAI_r145_BAG_L1,#637939
79,NeuralNetFastAI_r111_BAG_L1,#8c6d31
80,NeuralNetFastAI_r187_BAG_L1,#843c39
81,LightGBM_r15_BAG_L2,#1f77b4
82,RandomForest_r16_BAG_L1,#d62728
83,CatBoost_r143_BAG_L1,#2ca02c
84,CatBoost_r9_BAG_L2,#9467bd
85,NeuralNetFastAI_r111_BAG_L2,#ff7f0e
86,ExtraTrees_r49_BAG_L1,#17becf
87,LightGBM_r161_BAG_L1,#e377c2
88,RandomForest_r15_BAG_L1,#8c564b
89,NeuralNetFastAI_r194_BAG_L2,#bcbd22
90,RandomForest_r127_BAG_L1,#7f7f7f
91,ExtraTrees_r42_BAG_L2,#393b79
92,CatBoost_r128_BAG_L1,#b15928
93,RandomForest_r195_BAG_L1,#5254a3
94,RandomForest_r195_BAG_L2,#637939
95,XGBoost_r22_BAG_L1,#8c6d31
96,NeuralNetFastAI_r160_BAG_L1,#843c39
97,NeuralNetFastAI_r191_BAG_L2,#1f77b4
98,ExtraTrees_r172_BAG_L2,#d62728
99,NeuralNetFastAI_r102_BAG_L2,#2ca02c
100,RandomForest_r16_BAG_L2,#9467bd
101,LightGBM_r30_BAG_L2,#ff7f0e
102,XGBoost_r194_BAG_L1,#17becf
